rssi,rate,noise_floor,data,local_time,channel
-54,11,-95,"[0, 0, -14, 13, -14]",155226104,6
-53,11,-95,"[0, 0, 5, 15, 6]",155235821,6
-53,11,-95,"[0, 0, -19, 4, -19]",155239975,6
-53,11,-95,"[0, 0, 3, -17, 2]",155244960,6
-52,11,-95,"[0, 0, -20, 4, -19]",155338091,6
-53,11,-95,"[0, 0, 6, 19, 7]",155343408,6
-52,11,-95,"[0, 0, -5, -17, -7]",155377923,6
-52,11,-95,"[0, 0, 10, -19, 8]",155389191,6
-52,11,-95,"[0, 0, -21, 2, -21]",155419740,6
-52,11,-95,"[0, 0, -20, -5, -21]",155438685,6
-52,11,-95,"[0, 0, 21, -3, 20]",155442723,6
-52,11,-95,"[0, 0, 10, -14, 9]",155448058,6
-52,11,-95,"[0, 0, -3, -21, -5]",155494960,6
-52,11,-95,"[0, 0, 20, 7, 20]",155594163,6
-52,11,-95,"[0, 0, -16, -16, -17]",155600963,6
-52,11,-95,"[0, 0, -17, 15, -16]",155613409,6
-52,11,-95,"[0, 0, 18, -2, 17]",155622405,6
-52,11,-95,"[0, 0, 21, 5, 21]",155628035,6
-52,11,-95,"[0, 0, -16, -13, -17]",155632777,6
-53,11,-95,"[0, 0, -22, 3, -22]",155639616,6
-53,11,-95,"[0, 0, 9, 18, 10]",155648079,6
-52,11,-95,"[0, 0, 14, -16, 13]",155652426,6
-53,11,-95,"[0, 0, -21, -7, -22]",155698603,6
-52,11,-95,"[0, 0, -2, -22, -4]",155718652,6
-53,11,-95,"[0, 0, 22, 0, 22]",155734738,6
-53,11,-95,"[0, 0, 13, 12, 14]",155749705,6
-53,11,-95,"[0, 0, -9, 20, -7]",155753573,6
-53,11,-95,"[0, 0, 17, 12, 17]",155757383,6
-52,11,-95,"[0, 0, 7, 20, 8]",156029910,6
-52,11,-95,"[0, 0, 1, -18, 0]",156076945,6
-53,11,-95,"[0, 0, -18, -13, -19]",156103763,6
-53,11,-95,"[0, 0, -16, 10, -16]",156153456,6
-52,11,-95,"[0, 0, 17, 13, 17]",156157249,6
-53,11,-95,"[0, 0, -11, -16, -12]",156166230,6
-52,11,-95,"[0, 0, 1, -22, 0]",156206111,6
-53,11,-95,"[0, 0, 16, -14, 15]",156212842,6
-53,11,-95,"[0, 0, 18, 1, 18]",156217928,6
-53,11,-95,"[0, 0, -12, 18, -11]",156222906,6
-53,11,-95,"[0, 0, 6, 20, 7]",156226725,6
-52,11,-95,"[0, 0, 12, -16, 11]",156230377,6
-52,11,-95,"[0, 0, 9, -17, 8]",156234485,6
-53,11,-95,"[0, 0, 16, -14, 15]",156246414,6
-52,11,-95,"[0, 0, -18, -4, -19]",156250889,6
-52,11,-95,"[0, 0, -17, -5, -18]",156256098,6
-53,11,-95,"[0, 0, 15, -15, 15]",156300403,6
-52,11,-95,"[0, 0, 11, -18, 10]",156324789,6
-52,11,-95,"[0, 0, -2, 21, -1]",156329642,6
-52,11,-95,"[0, 0, 18, -12, 17]",156355902,6
-52,11,-95,"[0, 0, 21, 3, 22]",156407425,6
-52,11,-95,"[0, 0, -21, -7, -21]",156422157,6
-53,11,-95,"[0, 0, 17, -7, 17]",156459335,6
-52,11,-95,"[0, 0, 16, 13, 17]",156470870,6
-52,11,-95,"[0, 0, -20, 7, -21]",156523112,6
-52,11,-95,"[0, 0, 7, 19, 8]",156550755,6
-52,11,-95,"[0, 0, 13, 11, 14]",156560475,6
-52,11,-95,"[0, 0, -8, 20, -7]",156565293,6
-52,11,-95,"[0, 0, 0, 20, 1]",156569258,6
-52,11,-95,"[0, 0, -3, -18, -4]",156576998,6
-52,11,-95,"[0, 0, 20, 3, 21]",156616495,6
-52,11,-95,"[0, 0, -15, -4, -16]",156663608,6
-52,11,-95,"[0, 0, -5, 14, -5]",156671815,6
-52,11,-95,"[0, 0, 6, 12, 7]",156677842,6
-52,11,-95,"[0, 0, 6, -13, 6]",156683978,6
-52,11,-95,"[0, 0, -17, 5, -19]",156688326,6
-52,11,-95,"[0, 0, -11, -9, -13]",156694120,6
-52,11,-95,"[0, 0, -12, -8, -14]",156698240,6
-53,11,-95,"[0, 0, -12, 9, -13]",156709481,6
-52,11,-95,"[0, 0, -2, -15, -3]",156722996,6
-53,11,-95,"[0, 0, -8, -16, -10]",156757223,6
-53,11,-95,"[0, 0, 11, -8, 12]",156761516,6
-53,11,-95,"[0, 0, 6, -20, 4]",156771100,6
-52,11,-95,"[0, 0, 4, 16, 5]",157030396,6
-52,11,-95,"[0, 0, -9, 14, -10]",157048953,6
-52,11,-95,"[0, 0, 8, 14, 10]",157060752,6
-52,11,-95,"[0, 0, -7, 15, -8]",157081122,6
-52,11,-95,"[0, 0, 9, 13, 11]",157085219,6
-52,11,-95,"[0, 0, -18, -3, -20]",157118618,6
-52,11,-95,"[0, 0, -8, -15, -9]",157123726,6
-52,11,-95,"[0, 0, -5, -16, -6]",157171071,6
-52,11,-95,"[0, 0, -14, -2, -16]",157176549,6
-52,11,-95,"[0, 0, 5, -13, 5]",157181132,6
-52,11,-95,"[0, 0, 12, -7, 13]",157186516,6
-52,11,-95,"[0, 0, 4, -14, 3]",157222431,6
-53,11,-95,"[0, 0, 0, -21, -2]",157272180,6
-52,11,-95,"[0, 0, -15, -10, -17]",157285356,6
-52,11,-95,"[0, 0, 9, 12, 11]",157293009,6
-52,11,-95,"[0, 0, -17, 3, -19]",157488764,6
-52,11,-95,"[0, 0, 13, 2, 15]",157494764,6
-52,11,-95,"[0, 0, 14, 4, 16]",157528656,6
-52,11,-95,"[0, 0, 12, -12, 12]",157535248,6
-52,11,-95,"[0, 0, -18, 1, -20]",157543185,6
-52,11,-95,"[0, 0, 11, 12, 13]",157552782,6
-52,11,-95,"[0, 0, -11, -12, -13]",157556712,6
-52,11,-95,"[0, 0, 8, -12, 9]",157560601,6
-52,11,-95,"[0, 0, -4, -14, -5]",157564850,6
-54,11,-95,"[0, 0, 15, -10, 14]",157568993,6
-52,11,-95,"[0, 0, 13, 11, 14]",157579198,6
-53,11,-95,"[0, 0, 1, 20, 2]",157583063,6
-52,11,-95,"[0, 0, 8, -11, 9]",157591946,6
-52,11,-95,"[0, 0, -13, 6, -14]",157631548,6
-52,11,-95,"[0, 0, 12, 5, 14]",157644022,6
-52,11,-95,"[0, 0, 16, -5, 18]",157651174,6
-52,11,-95,"[0, 0, 8, 11, 9]",157655199,6
-52,11,-95,"[0, 0, 12, -11, 12]",157659023,6
-52,11,-95,"[0, 0, -13, 7, -14]",157662818,6
-52,11,-95,"[0, 0, -13, 9, -14]",157669575,6
-52,11,-95,"[0, 0, -5, -13, -7]",157673340,6
-52,11,-95,"[0, 0, -1, -15, -2]",157692109,6
-53,11,-95,"[0, 0, 7, -21, 6]",157733872,6
-52,11,-95,"[0, 0, -5, -14, -6]",157788549,6
-52,11,-95,"[0, 0, 12, -4, 14]",157801691,6
-52,11,-95,"[0, 0, 15, -4, 17]",157836460,6
-52,11,-95,"[0, 0, 9, -14, 9]",157846655,6
-52,11,-95,"[0, 0, 19, -4, 19]",157893014,6
-52,11,-95,"[0, 0, -20, 6, -20]",157902440,6
-51,11,-95,"[0, 0, -6, 13, -6]",157938693,6
-51,11,-95,"[0, 0, 5, -16, 4]",157963473,6
-51,11,-95,"[0, 0, -11, -14, -13]",158000599,6
-51,11,-95,"[0, 0, 13, -1, 15]",158008245,6
-50,11,-95,"[0, 0, 9, -15, 8]",158077049,6
-51,11,-95,"[0, 0, 9, 10, 11]",158082056,6
-51,11,-95,"[0, 0, 0, 15, 1]",158095055,6
-51,11,-95,"[0, 0, 10, -9, 11]",158104955,6
-51,11,-95,"[0, 0, -15, -11, -17]",158109061,6
-51,11,-95,"[0, 0, -9, 14, -9]",158162222,6
-51,11,-95,"[0, 0, 17, 0, 18]",158189821,6
-51,11,-95,"[0, 0, 16, 5, 18]",158194527,6
-51,11,-95,"[0, 0, 3, 16, 4]",158203812,6
-51,11,-95,"[0, 0, -4, 17, -3]",158207817,6
-51,11,-95,"[0, 0, 5, 14, 6]",158211803,6
-51,11,-95,"[0, 0, -15, 3, -16]",158271500,6
-51,11,-95,"[0, 0, 14, 2, 15]",158300484,6
-52,11,-95,"[0, 0, 12, -9, 12]",158312087,6
-51,11,-95,"[0, 0, 10, -11, 10]",158316234,6
-52,11,-95,"[0, 0, 14, -1, 15]",158321508,6
-51,11,-95,"[0, 0, 10, -10, 11]",158330205,6
-51,11,-95,"[0, 0, 6, -13, 6]",158335872,6
-51,11,-95,"[0, 0, -18, -2, -20]",158342194,6
-51,11,-95,"[0, 0, -15, -2, -17]",158362671,6
-52,11,-95,"[0, 0, -15, 14, -15]",158372172,6
-52,11,-95,"[0, 0, 16, 1, 17]",158379435,6
-51,11,-95,"[0, 0, -19, -9, -20]",158385859,6
-51,11,-95,"[0, 0, -16, 6, -16]",158389705,6
-51,11,-95,"[0, 0, -13, -13, -16]",158397182,6
-51,11,-95,"[0, 0, 2, -17, 2]",158407433,6
-51,11,-95,"[0, 0, -9, -16, -11]",158411155,6
-51,11,-95,"[0, 0, 14, 3, 15]",158414938,6
-51,11,-95,"[0, 0, 4, -17, 3]",158418781,6
-51,11,-95,"[0, 0, 14, -2, 16]",158461715,6
-51,11,-95,"[0, 0, -13, -9, -15]",158467890,6
-51,11,-95,"[0, 0, -11, 11, -12]",158493057,6
-51,11,-95,"[0, 0, 6, 13, 8]",158501890,6
-51,11,-95,"[0, 0, 12, 8, 13]",158511572,6
-51,11,-95,"[0, 0, -18, -2, -20]",158515370,6
-51,11,-95,"[0, 0, 13, 7, 14]",158520150,6
-51,11,-95,"[0, 0, -18, 1, -20]",158563455,6
-51,11,-95,"[0, 0, -16, -7, -19]",158570528,6
-51,11,-95,"[0, 0, -10, -14, -12]",158576910,6
-51,11,-95,"[0, 0, 15, 6, 17]",158581539,6
-51,11,-95,"[0, 0, -8, 13, -8]",158585591,6
-51,11,-95,"[0, 0, -3, 14, -2]",158589461,6
-51,11,-95,"[0, 0, -1, 14, -1]",158593061,6
-51,11,-95,"[0, 0, 12, -6, 14]",158597864,6
-51,11,-95,"[0, 0, 10, 9, 11]",158608974,6
-51,11,-95,"[0, 0, 15, 8, 17]",158618248,6
-51,11,-95,"[0, 0, -14, -5, -16]",158623439,6
-52,11,-95,"[0, 0, 3, -14, 2]",158669187,6
-52,11,-95,"[0, 0, -8, 11, -8]",158677022,6
-51,11,-95,"[0, 0, -7, -15, -9]",158681218,6
-52,11,-95,"[0, 0, -7, -20, -9]",158685225,6
-52,11,-95,"[0, 0, 3, 17, 4]",158692896,6
-53,11,-95,"[0, 0, -19, -8, -21]",158706897,6
-53,11,-95,"[0, 0, -6, 17, -5]",158714046,6
-52,11,-95,"[0, 0, 10, -8, 11]",158720902,6
-52,11,-95,"[0, 0, -8, 11, -8]",158726787,6
-52,11,-95,"[0, 0, -12, 11, -13]",158763377,6
-52,11,-95,"[0, 0, -8, 13, -9]",158778201,6
-52,11,-95,"[0, 0, -15, 7, -17]",158783480,6
-52,11,-95,"[0, 0, -14, -7, -16]",158794175,6
-52,11,-95,"[0, 0, -8, 11, -8]",158805924,6
-52,11,-95,"[0, 0, 13, -1, 15]",158825006,6
-52,11,-95,"[0, 0, 10, 8, 12]",159123679,6
-52,11,-95,"[0, 0, -4, 15, -4]",159129794,6
-52,11,-95,"[0, 0, 12, -4, 14]",159133767,6
-52,11,-95,"[0, 0, 18, 4, 20]",159188011,6
-52,11,-95,"[0, 0, -14, 0, -16]",159223939,6
-52,11,-95,"[0, 0, 1, -16, 1]",159229516,6
-52,11,-95,"[0, 0, 11, 8, 12]",159234000,6
-52,11,-95,"[0, 0, -4, 15, -4]",159240400,6
-52,11,-95,"[0, 0, -13, 10, -14]",159283388,6
-52,11,-95,"[0, 0, -10, 13, -10]",159326083,6
-52,11,-95,"[0, 0, -6, -17, -8]",159331525,6
-51,11,-95,"[0, 0, -19, -2, -20]",159336892,6
-52,11,-95,"[0, 0, -16, -6, -18]",159370810,6
-52,11,-95,"[0, 0, 9, 12, 11]",159382682,6
-52,11,-95,"[0, 0, -10, 12, -10]",159386594,6
-53,11,-95,"[0, 0, -9, 10, -10]",159396583,6
-53,11,-95,"[0, 0, 1, 12, 1]",159400863,6
-53,11,-95,"[0, 0, 8, 10, 10]",159410282,6
-53,11,-95,"[0, 0, -14, -3, -17]",159413812,6
-53,11,-95,"[0, 0, -8, 9, -10]",159422944,6
-54,11,-95,"[0, 0, -4, 11, -4]",159426544,6
-54,11,-95,"[0, 0, -10, -7, -12]",159433393,6
-54,11,-95,"[0, 0, 7, -8, 8]",159437307,6
-53,11,-95,"[0, 0, 9, -2, 11]",159474508,6
-52,11,-95,"[0, 0, -6, -7, -8]",159514759,6
-52,11,-95,"[0, 0, -7, 5, -9]",159523469,6
-52,11,-95,"[0, 0, -7, 4, -10]",159527911,6
-52,11,-95,"[0, 0, -3, -9, -4]",159533785,6
-52,11,-95,"[0, 0, 4, 8, 5]",159537596,6
-52,11,-95,"[0, 0, 3, 8, 4]",159545511,6
-52,11,-95,"[0, 0, 7, -8, 9]",159591970,6
-52,11,-95,"[0, 0, 2, 10, 3]",159602986,6
-53,11,-95,"[0, 0, 6, 7, 8]",159610892,6
-52,11,-95,"[0, 0, 9, 3, 11]",159627407,6
-53,11,-95,"[0, 0, -10, -1, -12]",159633441,6
-53,11,-95,"[0, 0, -6, -10, -7]",159637491,6
-52,11,-95,"[0, 0, 8, 6, 10]",159643107,6
-53,11,-95,"[0, 0, -11, 1, -14]",159679712,6
-53,11,-95,"[0, 0, 2, -11, 2]",159696832,6
-53,11,-95,"[0, 0, -13, -2, -15]",159702490,6
-53,11,-95,"[0, 0, -7, -11, -9]",159706814,6
-52,11,-95,"[0, 0, -8, -11, -10]",159710705,6
-53,11,-95,"[0, 0, 1, -13, 1]",159718774,6
-53,11,-95,"[0, 0, 12, 5, 14]",159725346,6
-53,11,-95,"[0, 0, 6, -9, 6]",159731847,6
-53,11,-95,"[0, 0, 0, -14, 0]",159740586,6
-52,11,-95,"[0, 0, 13, 3, 15]",159745209,6
-51,11,-95,"[0, 0, -15, -7, -17]",159833493,6
-52,11,-95,"[0, 0, 15, -6, 15]",159847164,6
-51,11,-95,"[0, 0, 7, -15, 6]",159851176,6
-51,11,-95,"[0, 0, -3, -16, -5]",159937289,6
-51,11,-95,"[0, 0, -1, -15, -2]",160001837,6
-51,11,-95,"[0, 0, -8, -12, -10]",160034096,6
-51,11,-95,"[0, 0, 2, 13, 3]",160038051,6
-51,11,-95,"[0, 0, 7, 12, 8]",160047048,6
-51,11,-95,"[0, 0, 1, -15, 0]",160051424,6
-51,11,-95,"[0, 0, 11, 8, 12]",160055350,6
-51,11,-95,"[0, 0, -15, -5, -16]",160089754,6
-51,11,-95,"[0, 0, -17, -4, -18]",160101382,6
-51,11,-95,"[0, 0, 16, -2, 16]",160114458,6
-51,11,-95,"[0, 0, 14, 7, 15]",160121255,6
-51,11,-95,"[0, 0, 15, -8, 14]",160142559,6
-50,11,-95,"[0, 0, 13, 3, 14]",160151440,6
-51,11,-95,"[0, 0, -7, -11, -8]",160156661,6
-50,11,-95,"[0, 0, -15, -5, -17]",160324449,6
-50,11,-95,"[0, 0, -14, 4, -15]",160353146,6
-50,11,-95,"[0, 0, -13, 7, -14]",160361465,6
-51,11,-95,"[0, 0, 8, 9, 9]",160365316,6
-51,11,-95,"[0, 0, -1, -14, -1]",160418425,6
-51,11,-95,"[0, 0, -12, -7, -13]",160440900,6
-51,11,-95,"[0, 0, 12, 5, 14]",160448036,6
-51,11,-95,"[0, 0, -3, 15, -2]",160452633,6
-51,11,-95,"[0, 0, 13, -10, 13]",160456600,6
-51,11,-95,"[0, 0, 3, 15, 5]",160460382,6
-51,11,-95,"[0, 0, -13, -5, -14]",160515122,6
-51,11,-95,"[0, 0, -12, 7, -13]",160525389,6
-51,11,-95,"[0, 0, 13, 3, 14]",160565229,6
-51,11,-95,"[0, 0, 6, -13, 6]",160569369,6
-51,11,-95,"[0, 0, -15, 3, -16]",160602403,6
-52,11,-95,"[0, 0, -5, 17, -4]",160622481,6
-51,11,-95,"[0, 0, -13, -3, -15]",160629451,6
-51,11,-95,"[0, 0, -9, 10, -9]",160638733,6
-51,11,-95,"[0, 0, -14, 6, -15]",160651955,6
-51,11,-95,"[0, 0, -14, 7, -14]",160659320,6
-51,11,-95,"[0, 0, -15, 5, -16]",160664748,6
-51,11,-95,"[0, 0, 10, 10, 12]",160668874,6
-50,11,-95,"[0, 0, 8, 12, 9]",160703371,6
-50,11,-95,"[0, 0, -3, 13, -3]",160741720,6
-50,11,-95,"[0, 0, -7, 11, -7]",160764888,6
-51,11,-95,"[0, 0, -1, -18, -2]",160772017,6
-51,11,-95,"[0, 0, 7, 12, 8]",160806052,6
-51,11,-95,"[0, 0, 15, 10, 16]",160854856,6
-51,11,-95,"[0, 0, -17, -1, -17]",160907734,6
-51,11,-95,"[0, 0, 16, 3, 17]",160913490,6
-51,11,-95,"[0, 0, -3, 14, -2]",160967574,6
-51,11,-95,"[0, 0, -10, 11, -10]",160974394,6
-51,11,-95,"[0, 0, -14, 10, -14]",161058415,6
-51,11,-95,"[0, 0, 0, 14, 1]",161077921,6
-51,11,-95,"[0, 0, 12, -10, 12]",161136314,6
-51,11,-95,"[0, 0, -8, -11, -10]",161201113,6
-51,11,-95,"[0, 0, 10, 7, 12]",161206313,6
-51,11,-95,"[0, 0, 12, 4, 14]",161214364,6
-51,11,-95,"[0, 0, -1, 14, 0]",161261010,6
-51,11,-95,"[0, 0, -9, 10, -10]",161281550,6
-52,11,-95,"[0, 0, 8, 9, 10]",161328208,6
-52,11,-95,"[0, 0, -12, -3, -15]",161340777,6
-52,11,-95,"[0, 0, -13, 2, -15]",161348275,6
-52,11,-95,"[0, 0, 11, -1, 13]",161351959,6
-52,11,-95,"[0, 0, -11, -8, -13]",161365254,6
-52,11,-95,"[0, 0, 12, 0, 14]",161371985,6
-52,11,-95,"[0, 0, -12, -5, -14]",161376930,6
-52,11,-95,"[0, 0, 7, -9, 7]",161385041,6
-50,11,-95,"[0, 0, 8, -11, 7]",161434468,6
-49,11,-95,"[0, 0, 2, 16, 3]",161780738,6
-47,11,-95,"[0, 0, -9, -15, -11]",161787863,6
-48,11,-95,"[0, 0, -8, -15, -9]",161795634,6
